,title,runtime,mpaa_rating,theatrical_release,director,actor,plot
11,Boogie Woogie,90,R,2010-04-23,Duncan Ward,"Gillian Anderson, Alan Cumming, Heather Graham, Danny Huston, Jack Huston","In London's contemporary art world, everyone has a hustle. Art Spindle runs a high-end gallery: he hopes to flip a Mondrian for millions. One of his assistants, Beth, is sleeping with Art's most acquisitive client, Bob Macclestone. Beth wants Bob to set her up in her own gallery, so she helps him go behind Art's back for the Mondrian. Bob's wife, Jean, sets her eye on a young conceptual artist, Jo, who lusts after Art's newest assistant, Paige. Meanwhile, self-absorbed lesbian videographer Elaine is chewing her way through friends and lovers looking to make it: if she'll throw Dewey, her agent, under the bus, Beth may give her a show. And the Mondrian? No honor among thieves."
12,Brooklyn's Finest,133,R,2010-03-05,Antoine Fuqua,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Will Patton","In Brooklyn, amid drug deals, violence, casual racism, poverty, housing projects, and corrupt cops, we follow three officers: Tango, African-American, working undercover, believing he's earned a promotion to a desk job but told he has to set up the bust of an ex-con who saved his life; Sal, who'll commit murder to get cash; and, Eddie, the precinct's oldest beat cop, a week to go before retirement, assigned to mentor an earnest rookie. Can this end well for any of the three?"
13,Buried,95,R,2010-09-24,Rodrigo Cortes,"Ryan Reynolds, Ivana Mino, Jose Luis Garcia Perez, Robert Paterson",Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.
14,Cairo Time,88,PG,2010-08-06,Ruba Nadda,"Patricia Clarkson, Alexander Siddig, Elena Anaya, Amina Annabi, Tom McCamus","In Cairo on her own as she waits for her husband, Juliette finds herself caught in a whirlwind romance with his friend Tareq, a retired cop. As Tareq escorts Juliette around the city, they find themselves in the middle of a brief affair that catches them both unawares."
15,Carlos,333,Unrated,2010-10-15,Olivier Assayas,"Edgar Ramirez, Alexander Scheer, Nora von Waldstatten, Ahmad Kaabour, Christoph Bach","Ilich Ramirez Sanchez, aka 'Carlos,' is a Venezuelan-born Marxist revolutionary who aligns himself with the Palestinian cause and becomes the world's most notorious terrorist. He leads assaults on the meeting of OPEC ministers, taking them hostage and flying them from country to country seeking asylum, one of the most daring acts of terrorism in history. From his earliest days as an apprentice in the revolutionary movement to his subsequent downfall, Carlos becomes a figure of legend."
16,Casino Jack,108,R,2010-12-17,George Hickenlooper,"Kevin Spacey, Barry Pepper, Jon Lovitz, Kelly Preston, Rachelle Lefevre",A hot shot Washington DC lobbyist and his protégé go down hard as their schemes to peddle influence lead to corruption and murder.
17,Centurion,97,R,2010-08-27,Neil Marshall,"Michael Fassbender, Dominic West, Olga Kurylenko, Noel Clarke, David Morrissey","Britain, A.D. 117. Quintus Dias, the sole survivor of a Pictish raid on a Roman frontier fort, marches north with General Virilus' legendary Ninth Legion, under orders to wipe the Picts from the face of the Earth and destroy their leader, Gorlacon."
18,Charlie St. Cloud,98,PG-13,2010-07-30,Burr Steers,"Zac Efron, Charlie Tahan, Amanda Crew, Augustus Prew, Donal Logue","Charlie's brother, Sam, dies in a car crash that Charlie survives. Charlie is given the gift of seeing his dead brother, but when the girl he falls in love with's life is at risk, he must choose between his girlfriend and his brother."
19,Chloe,99,R,2010-03-26,Atom Egoyan,"Liam Neeson, Julianne Moore, Amanda Seyfried, Nina Dobrev, R.H. Thomson","Catherine and David, she a doctor, he a professor, are at first glance the perfect couple. Happily married with a talented teenage son, they appear to have an idyllic life. But when David misses a flight and his surprise birthday party, Catherine's long simmering suspicions rise to the surface. Suspecting infidelity, she decides to hire an escort to seduce her husband and test his loyalty. Catherine finds herself 'directing' Chloe's encounters with David, and Chloe's end of the bargain is to report back, the descriptions becoming increasingly graphic as the meetings multiply."
20,Conviction,107,R,2010-10-15,Tony Goldwyn,"Hilary Swank, Sam Rockwell, Minnie Driver, Melissa Leo, Peter Gallagher","Betty Anne Waters (Swank) is a high school dropout who spent nearly two decades working as a single mother while putting herself through law school, tirelessly trying to beat the system and overturn her brother's (Rockwell) unjust murder conviction."
21,Devil,80,PG-13,2010-09-17,John Erick Dowdle,"Chris Messina, Geoffrey Arend, Bokeem Woodbine, Caroline Dhavernas, Jenny O'Hara","In Philadelphia, Detective Bowden is still grieving for his wife and son, killed in a hit-and-run five years ago. When someone jumps from a skyscraper onto a truck, Bowden is sent to investigate. Meanwhile, five strangers are trapped in an elevator in the building where the jumper committed suicide. The communication radio in the elevator is broken but the guards, Lustig and Ramirez, observe the individuals via CCTV as events unfold. Tensions run high among those trapped, so Lustig calls the police and Detective Bowden assumes the case. Without being able to contact the individuals, he tries to work out who they are, but he can only account for four of them. Time is running out for the occupants of the elevator, as Bowden realizes he has to get them out quickly."
22,Diary of a Wimpy Kid,93,PG,2010-03-19,Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachael Harris, Steve Zahn, Connor Fielding","The adventures of a teenager who is fresh out and in Middle School, where he has to learn the consequences and responsibility to survive the year."
23,Dinner for Schmucks,114,PG-13,2010-07-30,Jay Roach,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement","When he finds out that his work superiors host a dinner celebrating the idiocy of their guests, a rising executive questions it when he's invited, just as he befriends a man who would be the perfect guest."
24,Don McKay,87,R,2010-04-02,Jake Goldberger,"Thomas Haden Church, Elisabeth Shue, Melissa Leo, M. Emmet Walsh, Keith David","Don McKay, a high school janitor who leaves his hometown after a tragedy, returns 25 years later to rekindle a romance with his old flame, who is dying, but this homecoming brings McKay more than he bargained for."
25,Exit Through The Gift Shop,86,R,2010-04-16,Banksy,"Banksy, Rhys Ifans, Thierry Guetta, Shepard Fairey, Space Invader","The story of how an eccentric French shop-keeper and amateur film-maker attempted to locate and befriend Banksy, only to have the artist turn the camera back on its owner. The film contains footage of Banksy, Shephard Fairey, Invader and many of the world's most infamous graffiti artists at work."
26,Fair Game,108,PG-13,2010-11-05,Doug Liman,"Naomi Watts, Sean Penn, Bruce McGill, Michael Kelly, Ty Burrell",Plame's status as a CIA agent was revealed by White House officials allegedly out to discredit her husband after he wrote a 2003 New York Times op-ed piece saying that the Bush administration had manipulated intelligence about weapons of mass destruction to justify the invasion of Iraq.
27,Faster,98,R,2010-11-24,George Tillman Jr.,"Billy Bob Thornton, Oliver Jackson-Cohen, Carla Gugino, Maggie Grace, Moon Bloodgood","A lone man, recently released from prison, seeks out the people from his past who he believes betrayed him. While he forces each to atone for their sins, he must also face what meting out vengeance will do to his immortal soul. Meanwhile, he's not the only one looking to settle old scores. Hired by the man responsible for the events which lead him to prison, an eccentric contract killer follows his every move. Scenes of them crossing paths, sometimes violently, are interspersed with the assassin's self-realizations of how to deal with struggles within his own life. As if old enemies & hired guns aren't enough, a young female detective begrudgingly works alongside a veteran investigator looking to simply survive his last two weeks on the force before retirement, as they seek out the brazen ex-con who has been blazing a path of gasoline-powered destruction in his vintage Chevelle."
28,Fish Tank,124,Unrated,2010-01-15,Andrea Arnold,"Katie Jarvis, Michael Fassbender, Rebecca Griffiths, Sydney Mary Nash, Harry Treadaway","Mia, an aggressive fifteen-year-old girl, lives on an Essex estate with her tarty mother, Joanne, and precocious little sister Tyler. She has been thrown out of school and is awaiting admission to a referrals unit and spends her days aimlessly. She begins an uneasy friendship with Joanne's slick boyfriend, Connor, who encourages her one interest, dancing."
29,For Colored Girls,134,R,2010-11-05,Tyler Perry,"Kimberly Elise, Janet Jackson, Loretta Devine, Thandie Newton, Anika Noni Rose","The movie is based on Ntozake Shange's play ""For Colored Girls Who Have Considered Suicide When the Rainbow Is Enuf."" Unlike the original play which featured only 7 women known by colors performing the collection of 20 poems, the movie has given each of the 20 characters names. Each of the poems deal with intense issues that particularly impact women in a thought-provoking commentary on what it means to be a female of color in the world."
30,From Paris with Love,92,R,2010-02-05,Pierre Morel,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Amber Rose Revah, Richard Durden","James Reece is an ambitious aide to the U.S. Ambassador in Paris, doing little jobs for the CIA and hoping to get into black ops. On the night he and his girlfriend, Caroline, become engaged, he's told to pick up Charlie Wax at Orly. Charlie is an unorthodox government employee - large, bald and bearded, foul-mouthed and eccentric. Charlie immediately takes James on a wild ride of murder and mayhem, through ethnic enclaves. As bodies pile up, the purpose remains opaque to James. Caroline, unhappy that James has been out of touch for a day, tells him to bring Charlie for dinner. Charlie can be charming - where will it lead? Does the chess-playing James have what it takes?"
31,Frozen (2010),93,R,2010-02-05,Adam Green,"Emma Bell, Shawn Ashmore, Kevin Zegers","At Mount Holliston, snowboarders Dan Walker, his girlfriend Parker O'Neil and his best friend Joe Lynch don't have enough money to buy lift tickets. Parker bribes Jason, a lift-worker, with one hundred dollars. When the system is nearing closure, they force Jason to let them have one last pass. However, Jason needs to resolve a problem and his colleague misunderstands his instructions and stops the lift. The trio of skier and snowboarders gets stranded on the chairlift near the top of the mountain. When they see that the lights of the ski resort had been turned off, they need to make a choice: leave the chairlift or freeze to death."
32,Greenberg,100,R,2010-03-26,Noah Baumbach,"Ben Stiller, Rhys Ifans, Greta Gerwig, Jennifer Jason Leigh, Brie Larson","A man from Los Angeles, who moved to New York years ago, returns to L.A. to figure out his life while he house-sits for his brother. He soon sparks with his brother's assistant."
33,Guy and Madeline on a Park Bench,82,Unrated,2010-11-05,Damien Chazelle,"Jason Palmer, Desiree Garcia, Sandha Khin, Frank Garvin, Andre Hayward","After connecting with the shy Madeline, a jazz trumpeter embarks on a quest for a more gregarious paramour, but through a series of twists and turns punctuated by an original score, the two lovers seem destined to be together."
34,Harry Brown,103,R,2010-04-30,Daniel Barber,"Michael Caine, Emily Mortimer, Charlie Creed-Miles, David Bradley, Iain Glen",An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.
35,Harry Potter and the Deathly Hallows - Part 1,146,PG-13,2010-11-19,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Helena Bonham Carter, Ralph Fiennes","Voldemort's power is growing stronger. He now has control over the Ministry of Magic and Hogwarts. Harry, Ron, and Hermione decide to finish Dumbledore's work and find the rest of the Horcruxes to defeat the Dark Lord. But little hope remains for the Trio, and the rest of the Wizarding World, so everything they do must go as planned."
36,Hereafter,126,PG-13,2010-10-22,Clint Eastwood,"Matt Damon, Bryce Dallas Howard, Jay Mohr, Richard Kind, Frankie McLaren","A drama centered on three people who are haunted by mortality in different ways. George (Matt Damon) is a blue-collar American who has a special connection to the afterlife. On the other side of the world, Marie (Cécile De France), a French journalist, has a near-death experience that shakes her reality. And when Marcus (Identical twins Frankie McLaren) and George McLaren), a London schoolboy, loses the person closest to him, he desperately needs answers. Each on a path in search of the truth, their lives will intersect, forever changed by what they believe might-or must-exist in the hereafter."
37,How to Train Your Dragon,98,PG,2010-03-26,"Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill","Long ago up North on the Island of Berk, the young Viking, Hiccup, wants to join his town's fight against the dragons that continually raid their town. However, his macho father and village leader, Stoik the Vast, will not allow his small, clumsy, but inventive son to do so. Regardless, Hiccup ventures out into battle and downs a mysterious Night Fury dragon with his invention, but can't bring himself to kill it. Instead, Hiccup and the dragon, whom he dubs Toothless, begin a friendship that would open up both their worlds as the observant boy learns that his people have misjudged the species. But even as the two each take flight in their own way, they find that they must fight the destructive ignorance plaguing their world."
38,I Am Love,120,R,2010-06-18,Luca Guadagnino,"Tilda Swinton, Flavio Parenti, Edoardo Gabbriellini, Alba Rohrwacher, Chiara Tomarelli","Emma left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her senses kindle."
39,I Love You Phillip Morris,98,R,2010-12-03,"John Requa, Glenn Ficarra","Jim Carrey, Ewan McGregor, Leslie Mann, Antoni Corone, Rodrigo Santoro","Steven Russell is happily married to Debbie, and a member of the local police force when a car accident provokes a dramatic reassessment of his life. Steven becomes open about his homosexuality and decides to live life to the fullest - even if it means breaking the law. Steven's new, extravagant lifestyle involves cons and fraud and, eventually, a stay in the State Penitentiary where he meets sensitive, soft-spoken Phillip Morris. His devotion to freeing Phillip from jail and building the perfect life together prompts Steven to attempt and often succeed at one impossible con after another."
40,I Spit On Your Grave,108,R,2010-10-08,Steven R. Monroe,"Sarah Butler, Jeff Branson, Andrew Howard, Daniel Franzese, Rodney Eastman","Writer Jennifer Hills (Butler) takes a retreat from the city to a charming cabin in the woods to start on her next book. But Jennifer's presence in the small town attracts the attention of a few morally depraved locals who set out one night to teach this city girl a lesson. They break into her cabin to scare her. However, what starts out as terrifying acts of humiliation and intimidation, quickly and uncontrollably escalates into a night of physical abuse and torturous assault. But before they can kill her, Jennifer sacrifices her broken and beaten body to a raging river that washes her away. As time passes, the men slowly stop searching for her body and try to go back to life as usual. But that isn't about to happen. Against all odds, Jennifer Hills survived her ordeal. Now, with hell bent vengeance, Jennifer's sole purpose is to turn the tables on these animals and to inflict upon them every horrifying and torturous moment they carried out on her... only much, much worse."
41,Inception,148,PG-13,2010-07-16,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy, Ken Watanabe","Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible - inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming."
42,Inside Job,108,PG-13,2010-10-08,Charles Ferguson,"Matt Damon, William Ackman, Daniel Alpert, Jonathan Alpert, Sigridur Benediktsdottir","'Inside Job' provides a comprehensive analysis of the global financial crisis of 2008, which at a cost over $20 trillion, caused millions of people to lose their jobs and homes in the worst recession since the Great Depression, and nearly resulted in a global financial collapse. Through exhaustive research and extensive interviews with key financial insiders, politicians, journalists, and academics, the film traces the rise of a rogue industry which has corrupted politics, regulation, and academia. It was made on location in the United States, Iceland, England, France, Singapore, and China."
43,Iron Man 2,124,PG-13,2010-05-07,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Mickey Rourke, Sam Rockwell","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
44,Jack Goes Boating,91,R,2010-09-17,Philip Seymour Hoffman,"Philip Seymour Hoffman, Amy Ryan, John Ortiz, Daphne Rubin-Vega, Tom McCarthy","Jack is a shy and awkward man who drives a limo and lives an unassuming life. His friend and co-worker, Clyde, and his wife Lucy, feel sorry for Jack and set him up on a blind date with Connie. Connie shares Jack's shyness and awkwardness, but through each other they seem to be able to find solace within themselves. Trouble might be brewing in paradise though, as Clyde and Lucy's marriage stumbles just as Jack and Connie's relationship grows."
45,Kick-Ass,117,R,2010-04-16,Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, Christopher Mintz-Plasse, Mark Strong, Chloe Grace Moretz","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so."
46,Killers,100,PG-13,2010-06-04,Robert Luketic,"Ashton Kutcher, Katherine Heigl, Tom Selleck, Catherine O'Hara, Katheryn Winnick","Spencer Aimes is just your average, undercover, government-hired super-assassin accustomed to a life of exotic European locales, flashy sports cars and even flashier women. But when he meets Jen Kornfeldt, a beautiful, fun-loving computer tech recovering from a bad break-up, he finds true love...and happily trades international intrigue for domestic bliss. Three years later, Spencer and Jen are still enjoying a picture-perfect marriage - that is, until the morning after Spencer's 30th birthday. That's when Spencer and Jen learn he's the target of a multi-million dollar hit. Even worse, the hired killers have been stalking the happy couple for years, and could be anyone: friends, neighbors, the grocery store clerk, even that crabby old guy shuffling across the street. Now Spencer and Jen are on the run for their lives. As their suburban paradise turns into a paranoid game of dodge-the-bullet, they must find out who wants Spencer dead and why, all the while trying to save their marriage, manage his in-laws, keep up neighborly appearances ... and just plain survive."
47,Legion,100,R,2010-01-22,Scott Stewart,"Paul Bettany, Lucas Black, Tyrese Gibson, Adrianne Palicki, Charles S. Dutton","An out-of-the-way diner becomes the unlikely battleground for the survival of the human race. When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope lies in a group of strangers trapped in a desert diner with the Archangel Michael (Bettany)."
48,Let Me In,116,R,2010-10-01,Matt Reeves,"Kodi Smit-McPhee, Richard Jenkins, Cara Buono, Elias Koteas, Sasha Barrese",A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.
49,Letters to Juliet,105,PG,2010-05-14,Gary Winick,"Amanda Seyfried, Vanessa Redgrave, Chris Egan, Gael Garcia Bernal, Marcia de Bonis","An American girl on vacation in Italy finds an unanswered ""letter to Juliet"" -- one of thousands of missives left at the fictional lover's Verona courtyard, which are typically answered by the ""secretaries of Juliet"" -- and she goes on a quest to find the lovers referenced in the letter."
50,Life as We Know It,112,PG-13,2010-10-08,"Gary Berlanti, Greg Berlanti","Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett, Brynn Clagett","Holly and Eric were set up on a blind date by their friends, Peter and Allison who are married. After Peter and Allison are killed in an accident, they learn that they have been named as the guardians to Peter and Allison's daughter, Sophie. So they move into their house and try their best to honor their friends' wishes. But raising a child puts a crimp on their style and they don't exactly get along."
51,Looking for Eric,116,G,2010-05-14,Ken Loach,"Steve Evets, Eric Cantona, Stephanie Bishop, Gerard Kearns, Stefan Gumbs","Eric, a football fanatic postman whose life is descending into crisis, receives some life coaching from the famously philosophical Eric Cantona."
52,Love and Other Drugs,112,R,2010-11-24,Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Ray Godshall Sr.","Maggie (Hathaway) is an alluring free spirit who won't let anyone - or anything - tie her down. But she meets her match in Jamie (Gyllenhaal), whose relentless and nearly infallible charm serve him well with the ladies and in the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love."
53,Machete,105,R,2010-09-03,"Ethan Maniquis, Robert Rodriguez","Danny Trejo, Jessica Alba, Cheech Marin, Michelle Rodriguez, Robert De Niro","After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
54,Made in Dagenham,113,R,2010-11-19,Nigel Cole,"Sally Hawkins, Bob Hoskins, Miranda Richardson, Geraldine James, Rupert Graves","In 1968, the Ford auto factory in Dagenham was one of the largest single private employers in the United Kingdom. In addition to the thousands of male employees, there are also 187 underpaid women machinists who primarily assemble the car seat upholstery in poor working conditions. Dissatisfied, the women, represented by the shop steward and Rita O'Grady, work with union rep Albert Passingham for a better deal. However, Rita learns that there is a larger issue in this dispute considering that women are paid an appalling fraction of the men's wages for the same work across the board on the sole basis of their sex. Refusing to tolerate this inequality any longer, O'Grady leads a strike by her fellow machinists for equal pay for equal work. What follows would test the patience of all involved in a grinding labour and political struggle that ultimately would advance the cause of women's rights around the world."
55,Megamind,96,PG,2010-11-05,"Tom McGrath, Cameron Hood","Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill, David Cross","The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life."
56,Monsters,97,R,2010-10-29,Gareth Edwards,"Scoot McNairy, Whitney Able","Six years ago NASA discovered the possibility of alien life within our solar system. A probe was launched to collect samples, but crashed upon re-entry over North America. Soon after, new life forms began to appear and half of Mexico was quarantined as an INFECTED ZONE. Today, the American and Mexican military still struggle to contain ""the creatures""...... Our story begins when a US journalist agrees to escort a shaken tourist through the infected zone in Mexico to the safety of the US border."
57,Nanny McPhee Returns,109,PG,2010-08-20,Susanna White,"Emma Thompson, Maggie Gyllenhaal, Rhys Ifans, Maggie Smith, Asa Butterfield","Nanny McPhee arrives to help a harried young mother who is trying to run the family farm while her husband is away at war, though she uses her magic to teach the woman's children and their two spoiled cousins five new lessons."
58,Night Catches Us,90,R,2010-12-03,Tanya Hamilton,"Anthony Mackie, Kerry Washington, Jamie Hector, Wendell Pierce, Amari Cheatom","In 1976, complex political and emotional forces are set in motion when a young man returns to the race-torn Philadelphia neighborhood where he came of age during the Black Power movement."
59,Nowhere Boy,98,R,2010-10-08,"Sam Taylor-Johnson, Sam Taylor Wood","Aaron Taylor-Johnson, Thomas Sangster, Anne-Marie Duff, David Morrissey, Kristin Scott Thomas","The story of John Lennon's childhood and teenage years from 1944 to 1960, his relationship with his aunt Mimi and his mother Julia -the two dominant women in the first part of his life-, his first meeting with Paul McCartney and George Harrison, their friendship, their love for music and the birth of The Beatles."
